Buyer ,Month,Year,Catch
PC,January,2018,901
PC,February,2018,2040
PC,March,2018,1937
PC,April,2018,1815
PC,May,2018,1402
PC,June,2018,709
PC,July,2018,339
PC,August,2018,1345
PC,September,2018,1955
PC,October,2018,2111
PC,November,2018,1359
PC,December,2018,1219
PC,January,2019,1670
PC,February,2019,1545
PC,March,2019,1169
PC,April,2019,1265
PC,May,2019,1051
PC,June,2019,200
PC,July,2019,0
PC,August,2019,882
PC,September,2019,1781
PC,October,2019,1809
PC,November,2019,1037
PC,December,2019,1263
PC,January,2020,688
PC,February,2020,1655
PC,March,2020,0
PC,April,2020,705
PC,May,2020,331
PC,June,2020,296
PC,July,2020,0
PC,August,2020,358
PC,September,2020,2165
PC,October,2020,2175
PC,November,2020,975
PC,December,2020,
