Month ,Date,Catch,,
January,NA,321,,
February,NA,60,,
February,2/2/2020,154,,
February,2/3/2020,134,,
February,2/24/2020,341,,
February,2/25/2020,528,,
February,2/26/2020,422,,
February,2/27/2020,230,,
February,2/28/2020,92,,
February,2/29/2020,190,,
March,3/1/2020,188,,
March,3/2/2020,134,,
March,3/3/2020,65,,
March,3/4/2020,122,,
April,NA,529,,
April,4/28/2020,217,,
April,4/29/2020,107,,
April,4/30/2020,113,,
May,NA,0,,
June,NA,0,,
July,NA,0,,
August,NA,0,,
September,9/15/2020,537,,
September,9/16/2020,598,,
September,9/17/2020,645,,
September,9/18/2020,656,,
September,9/19/2020,735,,
September,9/20/2020,738,,
September,9/21/2020,439,,
September,9/22/2020,426,,
October,10/12/2020,82,,
October,10/13/2020,541,,
October,10/14/2020,1340,,
October,10/15/2020,1077,,
October,10/16/2020,1118,,
November,11/12/2020,200,,
November,11/13/2020,775,,
November,11/14/2020,754,,
November,11/15/2020,781,,
November,11/16/2020,899,,
November,11/17/2020,531,,
November,11/18/2020,321,,
November,11/19/2020,315,,
December,12/12/2020,484,,
December,12/13/2020,331,,
December,12/14/2020,573,,
December,12/15/2020,628,,
December,12/16/2020,276,,
December,12/17/2020,148,,
December,12/18/2020,117,,
December,12/19/2020,25,,
